id,BluAPP200606281
info,visteam,EliAPP
info,hometeam,BluAPP
info,date,2006/06/28
sub,473265,Jose De La Torre,0,0,1
play,7,1,458593,,,9/F
play,7,1,502664,,,43/G
play,8,0,444481,,,S5/BG
play,8,0,462111,,,K
play,8,0,445162,,,46(1)3/GDP/G4
play,8,1,462984,,,S7/G
play,8,1,502335,,,K
play,8,1,503484,,,7/F
play,8,1,463717,,,S9/G.1-3
play,8,1,466445,,,K
play,9,0,447737,,,NP
sub,456941,Bruce Gallaway,1,0,1
play,9,0,447737,,,S7/G
play,9,0,placeholder,,,NP
sub,501850,Donald Green,0,4,12
play,9,0,448646,,,K
play,9,0,460697,,,K
play,9,0,444555,,,7/F
id,BluAPP200607080
info,visteam,GreAPP
info,hometeam,BluAPP
info,date,2006/07/08
start,502254,Brandon Caipen,0,1,5
start,463677,Ronald Ramirez,0,2,6
start,501947,Orlando Rosales,0,3,8
start,475894,Ralph Henriquez,0,4,2
start,446191,Cirilo Cruz,0,5,3
start,457777,Allen Langdon,0,6,10
start,463648,Reinaldo Ramirez,0,7,4
start,471905,Steve Brown,0,8,7
